%time,field.x,field.y,field.z
8249.011,-6.138141907427575,1.8202363769945893,1.5315337943376697
8249.012,-6.138310171522486,1.8199747288881816,1.5315462083820148
8249.013,-6.138478426257097,1.8197130535657384,1.5315586330157889
8249.014,-6.138646671645409,1.8194513510091523,1.53157106765554
8249.015,-6.138814907701637,1.8191896212032939,1.5315835117221988
8249.015,-6.138983134439898,1.81892786413445,1.5315959646439075
8249.018,-6.139151351873813,1.8186660797897871,1.5316084258562999
8249.018,-6.139319560016274,1.8184042681574832,1.5316208948025658
8249.02,-6.139487758882958,1.8181424292243882,1.5316333712185717
8249.02,-6.139655948488939,1.8178805629785844,1.531645854832474
8249.021,-6.139824128848265,1.8176186694095429,1.5316583453670354
8249.022,-6.139992299973072,1.8173567485115254,1.5316708422010388
8249.023,-6.140160461873809,1.8170948002776004,1.5316833447339924
8249.024,-6.140328614559626,1.8168328247019105,1.5316958523825859
8249.025,-6.1404967580388785,1.8165708217799807,1.5317083645819438
8249.025,-6.1406648923201494,1.816308791504403,1.5317208812505596
8249.027,-6.140833017410653,1.8160467338683177,1.5317334022874463
8249.028,-6.141001133316889,1.815784648866326,1.531745927574775
8249.028,-6.141169240045552,1.8155225364945762,1.5317584569813798
8249.03,-6.141337337602597,1.8152603967536998,1.5317709899318728
8249.031,-6.1415054259954385,1.8149982296449756,1.5317835258769084
8249.034,-6.141673505232566,1.8147360351697435,1.5317960642910489
8249.034,-6.141841575322996,1.8144738133296903,1.5318086046699744
8249.034,-6.142009636275988,1.814211564129166,1.53182114631521
8249.035,-6.14217768810111,1.8139492875736634,1.5318336885547754
8249.036,-6.142345730807633,1.8136869836692977,1.5318462307424083
8249.037,-6.142513764404019,1.8134246524228124,1.5318587722561434
8249.038,-6.142681788901789,1.813162293835081,1.5318713131877848
8249.039,-6.14284980431252,1.8128999079101131,1.5318838535868196
8249.04,-6.143017810647083,1.8126374946529427,1.531896393468765
8249.041,-6.143185807914786,1.8123750540692491,1.5319089328184394
8249.042,-6.143353796128378,1.812112586158069,1.531921472266633
8249.043,-6.143521775301266,1.811850090924126,1.531934012323489
8249.044,-6.143689745445446,1.811587568372377,1.5319465533972576
8249.045,-6.143857706569054,1.811325018507258,1.531959095801072
8249.046,-6.144025658675909,1.8110624413315837,1.531971639996299
8249.047,-6.144193601763956,1.8107998368500398,1.5319841863546488
8249.047,-6.144361535826166,1.8105372050684008,1.5319967351687527
8249.049,-6.144529460851875,1.8102745459928746,1.5320092866604789
8249.05,-6.144697376828946,1.8100118596291035,1.5320218409812467
8249.051,-6.144865283743672,1.8097491459841777,1.5320343982097562
8249.052,-6.145033181580508,1.8094864050642585,1.532046958361776
8249.053,-6.145201070321426,1.8092236368743255,1.5320595213951247
8249.054,-6.145368949948361,1.8089608414137532,1.5320720876747713
8249.054,-6.14553682044047,1.8086980186848138,1.5320846574657543
8249.056,-6.145704681773031,1.8084351686886782,1.5320972309487557
8249.057,-6.145872533916253,1.8081722914245042,1.5321098082269118
8249.058,-6.1460403768337715,1.8079093868877643,1.5321223895687839
8249.059,-6.1462082104831035,1.8076464550734077,1.5321349751691935
8249.06,-6.146376034815644,1.8073834959750852,1.532147565158456
8249.061,-6.146543849776782,1.8071205095846707,1.5321601596094632
8249.062,-6.146711655300266,1.8068574958990677,1.5321727578861204
8249.063,-6.14687945131207,1.8065944549093331,1.532185359365654
8249.064,-6.147047237731887,1.8063313866048196,1.5321979634335139
8249.065,-6.147215014474851,1.8060682909735621,1.5322105694870622
8249.066,-6.147382781451412,1.805805168000579,1.5322231771935622
8249.067,-6.1475505385681295,1.8055420176645207,1.5322357862017992
8249.068,-6.147718285727435,1.8052788399434163,1.5322483961406872
8249.069,-6.147886022827376,1.805015634815191,1.532261006627897
8249.069,-6.148053749762227,1.8047524022550783,1.5322736174855234
8249.071,-6.1482214664214565,1.8044891422335003,1.5322862284876013
8249.072,-6.148389172689172,1.8042258547200347,1.5322988393622705
8249.073,-6.1485568684432765,1.8039625396839283,1.5323114498006507
8249.074,-6.1487245535558985,1.8036991970945324,1.5323240592383935
8249.075,-6.148892227892658,1.8034358269204025,1.5323366671138896
8249.076,-6.149059891312937,1.8031724291278004,1.532349272870115
8249.077,-6.149227543670148,1.8029090036808555,1.5323618759536226
8249.078,-6.149395184811748,1.8026455505401922,1.5323744760073472
8249.078,-6.149562814579022,1.8023820696671384,1.5323870726738782
8249.08,-6.149730432807863,1.8021185610216082,1.5323996655992589
8249.08,-6.149898039329148,1.8018550245616431,1.5324122544323986
8249.082,-6.150065633970351,1.80159146024394,1.5324248388143715
8249.083,-6.150233216553386,1.801327868024619,1.5324374183719562
8249.086,-6.150400786895119,1.801064247859314,1.5324499927208888
8249.086,-6.150568344808038,1.800800599702931,1.5324625614687521
8249.086,-6.150735890102837,1.8005369235070772,1.5324751244667203
8249.086,-6.150903422587386,1.8002732192231272,1.5324876815494912
8249.088,-6.151070942066673,1.8000094868014558,1.532500232538805
8249.106,-6.151238448342412,1.7997457261914636,1.5325127772451905
8249.106,-6.151405941211689,1.7994819373446698,1.5325253152012124
8249.106,-6.151573420467687,1.7992181202104565,1.5325378459455645
8249.106,-6.1517408858991045,1.798954274738267,1.5325503690216025
8249.106,-6.151908337289813,1.7986904008778504,1.5325628839799803
8249.106,-6.152075774418219,1.7984264985733718,1.532575390960067
8249.106,-6.152243197056385,1.7981625677683095,1.5325878900584173
8249.106,-6.152410604971333,1.7978986084061463,1.532600381333688
8249.106,-6.152577997926646,1.7976346204304523,1.5326128648120294
8249.106,-6.152745375682131,1.7973706037800743,1.5326253409443353
8249.106,-6.152912737994616,1.7971065583960704,1.5326378101034202
8249.106,-6.153080084619163,1.796842484219328,1.532650272594997
8249.106,-6.153247415309943,1.7965783811904343,1.532662728662795
8249.106,-6.15341472982042,1.7963142492502557,1.5326751784938055
8249.106,-6.15358202790344,1.7960500883341133,1.5326876229142306
8249.106,-6.153749309309694,1.7957858983786141,1.5327000626399438
8249.106,-6.153916573788427,1.7955216793216446,1.5327124982891265
8249.106,-6.154083821088816,1.7952574311023932,1.5327249303840809
8249.107,-6.154251050958829,1.7949931536600234,1.5327373593519946
8249.108,-6.154418263146234,1.7947288469342595,1.53274978553375
8249.109,-6.154585457399721,1.7944645108651347,1.5327622091927446
8249.11,-6.1547526334688,1.7942001453945216,1.5327746302945844
8249.111,-6.154919791104483,1.7939357504650113,1.5327870487697026
8249.112,-6.155086930058151,1.7936713260178572,1.532799464518352
8249.113,-6.155254050081222,1.793406871993418,1.5328118774119481
8249.114,-6.155421150924596,1.7931423883348523,1.5328242869394035
8249.115,-6.155588232340589,1.7928778749861325,1.532836692592903
8249.116,-6.155755294082793,1.7926133318899613,1.5328490938700778
8249.116,-6.15592233590576,1.7923487589873504,1.5328614902725755
8249.118,-6.156089357565365,1.7920841562201923,1.5328738811263323
8249.118,-6.156256358818797,1.79181952352829,1.5328862657820852
8249.12,-6.156423339423746,1.7915548608509066,1.5328986436129501
8249.121,-6.156590299138148,1.7912901681271756,1.532911014014976
8249.121,-6.15675723771891,1.7910254452892054,1.5329233772586879
8249.123,-6.156924154924636,1.790760692266734,1.532935733551319
8249.123,-6.157091050515346,1.7904959089909813,1.5329480830417772
8249.125,-6.1572579242520975,1.7902310953949203,1.5329604258306295
8249.126,-6.157424775897203,1.7899662514099035,1.532972762204579
8249.127,-6.157591605215417,1.7897013769658636,1.5329850923872361
8249.128,-6.157758411973789,1.789436471993111,1.532997416544106
8249.128,-6.157925195941091,1.7891715364229688,1.5330097347899458
8249.13,-6.158091956886312,1.7889065701881264,1.5330220470341227
8249.131,-6.158258694578454,1.788641573224709,1.533034353168524
8249.134,-6.158425408786539,1.788376545467804,1.5330466530736093
8249.134,-6.158592099279628,1.7881114868508847,1.533058946616035
8249.134,-6.158758765827079,1.7878463973046497,1.5330712338336934
8249.135,-6.158925408198041,1.7875812767634947,1.5330835147298914
8249.136,-6.1590920261616855,1.787316125161795,1.5330957892820636
8249.139,-6.159258619487552,1.7870509424333072,1.5331080574425777
8249.139,-6.159425187946043,1.7867857285133741,1.5331203190305236
8249.139,-6.159591731307038,1.7865204833369526,1.53313257385615
8249.14,-6.159758249340158,1.786255206840116,1.5331448217212809
8249.158,-6.159924741815308,1.7859898989598906,1.5331570624226343
8249.158,-6.160091208503311,1.785724559635374,1.5331692955766512
8249.158,-6.160257649175154,1.7854591888048608,1.5331815208016253
8249.158,-6.160424063602389,1.785193786406545,1.5331937377176381
